# gene_name         0h    12h    24h    48h    96h 
anise             15.6   13.9    9.0    4.5    0.5 
apricot           17.1   14.7   12.4    6.6    1.3 
artichoke          9.1    8.9    7.8    4.4    0.9 
arugula            6.1    4.2    3.1    1.0    0.1 
asparagus         13.8    1.5    0.2    0.0    0.0 
avocado           40.8   17.0    6.3    0.7    0.0 
banana            12.9    8.7    4.5    1.2    0.0 
basil              6.8    1.5    0.3    0.0    0.0 
beet              83.9  102.5  119.1  117.7   71.7 
blackberry        22.2   25.6   25.1   21.3    9.9 
blueberry         13.2   13.9   12.4    8.1    2.5 
broccoli         389.9  386.1  317.2  192.7   37.3 
butternut         21.3   14.2    9.2    3.7    0.3 
cabbage           72.2   83.1   85.0   70.4   31.5 
cantaloupe        11.4    5.3    2.5    0.4    0.0 
caraway           10.7   10.0    7.4    3.5    0.6 
carrot            15.5    6.6    2.7    0.3    0.0 
cauliflower       31.1   20.7   10.3    2.7    0.1 
cayenne           27.0   21.9   14.0    4.0    0.3 
celery            10.9   12.3   12.4    9.7    3.8 
chard             34.6   27.9   23.0   10.4    1.8 
cherry             8.5    2.8    0.7    0.0    0.0 
chestnut          83.1  110.7  135.5  121.5   83.2 
chickpea         130.5  211.5  248.8  391.5  534.6 
cilantro           3.4    1.8    0.9    0.2    0.0 
clementine       187.2  148.2  137.6   77.3   17.1 
coconut           19.6   16.3   11.4    6.1    1.0 
coriander          8.9    6.5    4.5    1.5    0.1 
cranberry         93.2   93.2   91.8   76.4   26.8 
cucumber          33.9   56.5   71.8  103.4  154.9 
currant           25.7   27.8   28.8   17.9    5.3 
eggplant          28.0   19.3   14.0    4.9    0.3 
elderberry         3.9    2.2    1.1    0.2    0.0 
endive            31.8   28.0   19.2    8.6    0.9 
fennel            49.8   22.1   10.4    1.5    0.0 
fig               43.4   26.9   12.7    3.0    0.1 
garlic             4.2    3.3    2.5    1.3    0.2 
ginger            16.6    6.8    2.5    0.3    0.0 
gooseberry         7.5    7.5    6.5    3.1    0.7 
grape            258.9   94.9   40.4    4.3    0.0 
grapefruit        34.7   21.7   12.6    3.2    0.1 
guava             21.2   12.8    7.3    1.9    0.1 
honeydew           9.7    8.4    7.1    3.7    0.6 
horseradish       31.9   23.8   17.0    6.7    0.6 
huckleberry      185.9  259.5  323.7  422.4  359.0 
juniper           45.2   57.4   64.8   72.5   53.6 
kiwi              25.9   41.1   49.9   65.9   71.0 
kohlrabi          22.8   11.5    5.4    0.9    0.0 
lavender          38.6   33.1   23.4   11.4    1.7 
leek              12.6    9.4    6.4    2.7    0.3 
lentil           201.0  265.3  333.6  409.1  352.6 
lettuce           67.9   77.3   77.8   57.3   20.8 
lime              39.7   46.3   51.2   50.7   25.0 
maize             18.3   11.1    6.9    2.0    0.1 
mango             38.1   24.5   15.3    5.0    0.3 
melon             19.2   22.4   19.2   14.0    4.7 
mulberry           6.2    3.1    1.5    0.2    0.0 
mushroom          11.1   10.3   10.0    5.9    1.7 
mustard            9.5   11.3   11.6    8.9    3.7 
nectarine         77.5   84.3   97.0   99.9   58.4 
okra              19.3    7.2    2.5    0.2    0.0 
olive             43.2   56.8   60.9   61.0   42.4 
onion             82.8   55.3   34.2    9.5    0.6 
orange            87.3   84.4   71.2   36.7    9.1 
oregano           30.9   33.4   29.4   19.8    4.8 
papaya             4.5    1.7    0.5    0.0    0.0 
parsley           91.8  101.4   91.1   72.3   24.7 
parsnip           70.3   90.0  122.9  142.6  134.1 
pea               15.4   11.4    7.4    2.9    0.3 
peach             21.0   23.4   26.9   23.9   11.5 
pear              12.1    7.5    3.9    1.0    0.0 
pepper            40.1   53.0   61.6   66.3   50.5 
persimmon         91.4   95.7  112.0   93.8   48.2 
pineapple          9.5   10.3   10.1    8.6    3.3 
plantain          18.0    5.6    1.2    0.1    0.0 
plum               6.6    3.2    1.7    0.3    0.0 
pomegranate       20.3   14.1    8.6    2.3    0.1 
potato            16.1   18.0   21.0   21.5   15.2 
pumpkin           19.2   15.0   10.6    4.7    0.6 
quince            28.6   22.4   14.8    5.2    0.5 
radish            71.4   66.4   47.4   23.3    3.4 
raisin            45.0   18.1    6.2    0.6    0.0 
raspberry         68.8   15.6    3.4    0.1    0.0 
rhubarb           39.5   38.2   32.7   18.3    3.9 
rosemary         279.0  292.6  298.2  293.4  159.3 
rutabaga          50.8   56.4   68.1   52.6   29.2 
sage             120.1   79.9   44.7    9.8    0.4 
scallion          40.4   18.6    7.0    0.7    0.0 
spinach           22.5   13.4    5.7    1.1    0.0 
strawberry        28.9   35.0   37.5   36.2   23.2 
tamarind          72.5   13.4    2.0    0.0    0.0 
tangerine         15.8   17.7   18.3   14.9    5.9 
thyme            181.4  247.5  258.1  234.0  134.2 
tomato            72.7   91.2  100.1   97.7   67.1 
turnip            26.0   21.1   15.5    6.8    0.9 
