#gene_name           tpm[12h/0h]  tpm[24h/0h]  tpm[48h/0h]  tpm[96h/0h]  synth_rate   halflife
A1BG                 1.2          1.2          0.9          0.4          7.3          16.6
A1CF                 1.2          1.8          2.1          1.6          1.2          22.5
A2M                  1.4          1.8          2.1          2.2          2.3          24.7
A2ML1                1.1          1.1          0.7          0.3          1.0          16.0
A3GALT2              0.7          0.5          0.2          0.0          8.3          10.3
A4GALT               1.1          1.2          1.1          0.7          10.5         19.1
A4GNT                0.4          0.1          0.0          0.0          1.9          6.8
AAAS                 1.1          1.1          0.8          0.3          2.8          16.6
AACS                 0.6          0.4          0.1          0.0          1.6          9.3
AADAC                0.7          0.5          0.2          0.0          2.5          11.1
AADACL2              1.6          1.9          2.8          4.0          3.1          28.1
AADACL3              1.4          1.8          1.8          1.6          2.4          22.5
AADACL4              0.9          0.8          0.5          0.1          29.3         13.7
AADAT                0.6          0.4          0.1          0.0          3.2          9.6
AAED1                0.2          0.1          0.0          0.0          1.4          5.4
AAGAB                0.4          0.2          0.0          0.0          2.8          7.2
AAK1                 0.0          0.0          0.0          0.0          2.5          3.2
AAMDC                0.7          0.5          0.2          0.0          1.9          10.8
AAMP                 1.0          0.7          0.4          0.1          4.9          13.0
AANAT                0.8          0.5          0.3          0.0          2.9          11.6
AAR2                 0.5          0.3          0.1          0.0          2.4          8.5
AARD                 0.8          0.6          0.2          0.0          2.8          11.2
AARS                 0.6          0.3          0.1          0.0          1.8          8.5
AARS2                0.7          0.4          0.1          0.0          6.0          9.9
AARSD1               0.9          0.7          0.4          0.1          4.1          12.5
AASDH                0.7          0.4          0.2          0.0          2.4          10.6
AASDHPPT             1.6          1.9          2.7          2.9          1.3          25.7
AASS                 1.1          0.9          0.5          0.1          4.1          14.1
AATF                 1.2          1.5          1.6          1.1          1.3          20.6
AATK                 1.1          1.0          0.7          0.2          3.6          14.6
AATK-AS1             0.7          0.4          0.1          0.0          4.5          10.2
ABAT                 0.9          0.8          0.5          0.1          1.4          14.3
ABC13-47488600E17.1  0.6          0.3          0.1          0.0          1.8          9.1
ABC13-47656900H15.1  0.6          0.4          0.1          0.0          3.4          9.4
ABC7-42404400C24.1   0.6          0.4          0.1          0.0          4.1          9.0
ABCA1                0.7          0.5          0.1          0.0          10.0         10.1
ABCA10               1.2          1.3          1.5          0.7          2.7          18.8
ABCA12               1.1          0.9          0.5          0.1          23.9         13.6
ABCA13               0.3          0.1          0.0          0.0          0.6          6.1
ABCA2                1.2          1.3          1.2          0.6          0.8          18.5
ABCA3                1.7          2.1          3.2          4.2          7.2          29.6
ABCA4                1.2          1.6          1.7          1.4          2.1          21.6
ABCA5                0.4          0.2          0.0          0.0          2.0          7.0
