#cell        type      caraway         kiwi
0               2          362          407
1               3           42           61
2               1         3297          787
3               2          359          178
4               4         2552           16
5               1         1555         1165
6               1         2517         1538
7               3           26           23
8               2          371          129
9               3           30           10
10              0           86          942
11              0           24         1732
12              4         1186           19
13              2          261           61
14              0           33         3120
15              2          464          310
16              2          421          265
17              4         2287           11
18              2          436          496
19              2          488          513
20              2          473          372
21              1         1130         5097
22              2          515          505
23              1         2397         2900
24              2          493           95
25              2          483          224
26              2          172          188
27              3           29           29
28              3           25           48
29              0           29         1005
30              2          231          167
31              2          155          525
32              3           13           22
33              1         3215         1167
34              2          129           64
35              2          508           89
36              2          168          578
37              3           62           24
38              2          249          448
39              4         1671           40
40              2          251          318
41              1         2039         4331
42              2          291          514
43              2          716          164
44              4         3545           22
45              3           33           13
46              3           11           24
47              2          230          469
48              2          642          343
49              2          227          443
50              3           41           19
51              2          586           92
52              2          424          216
53              1         1715         1577
54              1         2391         2321
55              2          312          238
56              1         1696          955
57              2          148          553
58              2           45           86
59              3           60           48
60              0           70         3178
61              2          202          583
62              2          116          115
63              3           22           15
64              2          210          245
65              3           23           30
66              0            6         1625
67              3           59           34
68              3           68           29
69              3           68           22
70              0           32         1278
71              2          556          296
72              3           29           57
73              1         1849          858
74              2          316          487
75              3           25           10
76              2          323          320
77              3           23           68
78              2          155          267
79              2           76          408
80              2          649          666
81              1         2740         2835
82              2          164          384
83              2          378          216
84              4         1160           20
85              2          196          306
86              2          295          320
87              4         1743           48
88              3           10            6
89              2          515          111
90              3           14           16
91              2          489          369
92              3           34           26
93              3           35           18
94              2          558          243
95              2          215          523
96              2          441          206
97              2          333          587
98              2          344          439
99              2          305          504
100             1         2889         2818
101             4          852           33
102             2          418          448
103             1         2178         3639
104             3           26           24
105             1         3542         1875
106             1         3354         1963
107             3           35           27
108             3           31           49
109             1         2213         1153
110             2          231          634
111             3           47           19
112             3           30           73
113             3           38            8
114             3           11           24
115             1         1919         1233
116             1         1293         3630
117             2          149          321
118             3            8           59
119             1         2418         2930
120             1         1618         1282
121             2          239          224
122             2          188          193
123             2          262          266
124             3           18           66
125             0           16         1162
126             1         2720         2734
127             2          749          265
128             3           48           13
129             3           13           33
130             3           22           30
131             2          279          205
132             2          115          240
133             3           35           20
134             2          240          462
135             3            9           19
136             2          363          189
137             2          123          470
138             4         2935           33
139             0           64         1740
140             2          419          267
141             0           12         1442
142             1         1045         1711
143             3           26           38
144             2          191          461
145             3           24           51
146             3           38           15
147             3           29           14
148             2          628          343
149             2          355          149
150             3           34           28
151             0           36         3610
152             2          310          448
153             4         4442           38
154             4         3536           24
155             2           90           64
156             3           12           29
157             1         2272         2310
158             2          275          624
159             0           17         3328
160             2          272          289
161             2          446          489
162             2          102          178
163             3           51           14
164             3           37           34
165             0           34         2625
166             3           18           13
167             3           16           58
168             4         2391           13
169             0           34         2893
170             2          180          448
171             2          255          213
172             2          302          229
173             2           75          332
174             2          401          128
175             2          138          282
176             2           96          136
177             2          165          385
178             2          374          285
179             1         3200         1199
180             2          179          282
181             1         4215         1565
182             4          592           13
183             1         2288         2143
184             3           57           40
185             2          264          105
186             2          568          503
187             2          126          296
188             3            8           29
189             3           18            9
190             1         2331         2436
191             2          690          145
192             0           12          870
193             2          116          230
194             3           21           35
195             3           18           20
196             2          241          658
197             0           26         2927
198             1         2166         3117
199             2          136          428
200             0           21         3516
201             1         1546         3180
202             2           55          379
203             4         2357           23
204             3            6           22
205             1         1420         1543
206             2          120          391
207             1         2192         2593
208             1         3722         2921
209             2          199          395
210             0           11          492
211             4         2382           61
212             0           33         1340
213             3           33           31
214             2          331          480
215             2          207          172
216             2          310          287
217             1          769         4208
218             1         2241         3731
219             2          511          316
