#gene	sample4	sample5	sample6
anise	2701	3438	5081
apricot	1852	3698	2123
artichoke	1291	976	1108
arugula	1035	1651	800
asparagus	1282	2728	1276
avocado	1482	2286	3014
banana	825	623	465
basil	3	8	2
beet	289	133	187
blackberry	2823	3999	2904
blueberry	3794	2162	2074
broccoli	4189	6509	4461
butternut	160	144	96
cabbage	1115	888	384
cantaloupe	425	356	247
caraway	4791	4162	4326
carrot	4284	2100	3044
cauliflower	304	327	184
cayenne	3456	2049	4805
celery	3092	3125	3419
chard	2957	3307	804
cherry	685	1024	679
chestnut	1316	1487	1913
chickpea	364	781	908
cilantro	523	550	241
clementine	8160	3632	4823
coconut	3645	6509	4988
coriander	2392	1717	922
cranberry	23	12	13
cucumber	1922	2224	2050
currant	5665	2555	5219
eggplant	2720	923	1164
elderberry	3372	1172	5734
endive	28	30	24
fennel	237	260	426
fig	8511	5054	4995
garlic	1438	4935	2681
ginger	3680	6907	1789
gooseberry	1715	2092	1389
grape	14305	6387	11015
grapefruit	4146	5042	6259
guava	2694	1102	1210
honeydew	535	592	467
horseradish	1372	1044	1473
huckleberry	1616	1518	1363
juniper	4799	2089	4537
kiwi	730	932	511
kohlrabi	4290	9281	3852
lavender	2068	1953	3275
leek	1969	1553	1598
lentil	6590	5342	2853
lettuce	6633	7714	7198
lime	1504	1302	963
maize	649	291	441
mango	2703	6485	5724
melon	283	347	870
mulberry	2120	5936	2430
mushroom	613	374	178
mustard	384	720	581
nectarine	1195	748	231
okra	1684	983	2176
olive	2740	2064	6474
onion	1306	2150	3192
orange	624	1548	826
oregano	207	561	298
papaya	1356	2313	1605
parsley	2474	3062	4043
parsnip	2084	1595	1547
pea	4287	3202	6539
peach	2248	3423	2538
pear	72	232	246
pepper	5330	11866	13311
persimmon	4369	3641	4442
pineapple	297	173	251
plantain	3291	6263	1511
plum	1611	1442	1763
pomegranate	2966	6597	7025
potato	3080	3379	4643
pumpkin	778	363	271
quince	1688	3652	3984
radish	395	931	484
raisin	1172	702	1613
raspberry	267	370	427
rhubarb	130	83	48
rosemary	881	1557	1371
rutabaga	2321	1656	3711
sage	1994	1762	3862
scallion	8365	14099	4244
spinach	1414	1530	1929
strawberry	10823	8607	1749
tamarind	4841	10686	4665
tangerine	3113	1588	2944
thyme	1983	5005	1786
tomato	6292	5891	3653
turnip	731	2722	1533
wasabi	2553	939	3047
watercress	8527	3451	4229
watermelon	10005	11452	16887
yam	3331	7121	3303
zucchini	874	1198	444
OR4F5	3546	3996	2664
FO538757.2	2858	5209	2589
FO538757.1	439	337	126
OR4F29	1672	1284	2989
OR4F16	4972	6147	3811
SAMD11	3589	3362	5761
NOC2L	7414	5780	8182
KLHL17	4178	4319	5400
PLEKHN1	1151	2626	690
PERM1	174	663	393
HES4	3751	2795	1707
ISG15	551	1385	1199
AGRN	571	325	400
RNF223	768	1003	1161
C1orf159	4785	4184	3846
TTLL10	1332	2568	2272
TNFRSF18	2563	2034	3349
TNFRSF4	4219	3080	3267
SDF4	271	347	224
B3GALT6	2388	3277	2420
FAM132A	4995	4971	4243
UBE2J2	4623	5506	8978
SCNN1D	171	141	277
ACAP3	45	63	65
PUSL1	1235	2690	3680
CPSF3L	2200	1253	2406
CPTP	184	324	481
TAS1R3	2129	4171	3204
DVL1	59	193	68
MXRA8	1733	2663	1220
AURKAIP1	1445	1745	831
CCNL2	1832	4117	2537
MRPL20	1114	1563	1321
ANKRD65	2128	1181	2200
TMEM88B	2171	1885	2517
VWA1	1813	2240	2103
ATAD3C	900	1813	788
ATAD3B	10982	14713	6618
ATAD3A	595	2150	2362
TMEM240	1205	477	725
SSU72	1979	1735	1508
AL645728.1	3364	2722	6334
FNDC10	4780	8950	4396
MIB2	306	743	318
MMP23B	271	773	476
CDK11B	2071	5848	4795
SLC35E2B	1132	2329	2330
CDK11A	6134	6411	10085
SLC35E2	12495	9451	10641
NADK	3707	3425	3087
GNB1	1865	2336	1157
CALML6	14133	15247	6145
TMEM52	1136	865	521
CFAP74	1896	1717	4688
GABRD	1463	3259	2073
PRKCZ	161	213	219
FAAP20	2470	2285	2339
SKI	572	1054	662
MORN1	29	35	24
RER1	6167	7502	5229
PEX10	428	659	433
PLCH2	6007	4049	10168
PANK4	1021	1943	1797
HES5	834	1556	2248
TNFRSF14	72	78	34
FAM213B	7899	5943	6129
MMEL1	1386	500	455
TTC34	631	435	1038
ACTRT2	21	28	23
PRDM16	652	1110	1780
ARHGEF16	3332	3559	1409
MEGF6	4272	2284	8821
TPRG1L	227	84	201
WRAP73	1064	357	540
TP73	809	545	633
CCDC27	276	307	215
SMIM1	1405	524	885
LRRC47	498	384	410
CEP104	122	69	81
DFFB	338	381	521
C1orf174	1697	3680	2935
AJAP1	667	793	863
NPHP4	5749	12807	8816
KCNAB2	327	301	245
CHD5	185	147	326
RPL22	935	510	762
RNF207	1402	1561	1614
ICMT	3031	4356	1068
HES3	808	276	344
GPR153	904	865	1489
ACOT7	6010	8091	9274
HES2	757	559	542
ESPN	1513	1900	1919
TNFRSF25	2533	2396	1090
PLEKHG5	3657	4359	4590
NOL9	6963	4420	6821
TAS1R1	487	917	639
ZBTB48	1759	3925	5332
KLHL21	239	473	400
PHF13	4501	11425	5388
THAP3	2248	1599	2331
DNAJC11	12796	16918	14390
CAMTA1	1066	906	1161
VAMP3	231	392	183
PER3	1942	1209	3530
UTS2	2581	2258	2246
TNFRSF9	1855	2603	1660
PARK7	3511	3052	2937
ERRFI1	3016	1221	3883
SLC45A1	4289	3997	6753
RERE	1229	2256	1550
ENO1	990	981	514
CA6	269	271	156
SLC2A7	2408	3074	1890
SLC2A5	1942	3641	2074
GPR157	1555	1974	1408
H6PD	539	318	332
SPSB1	11012	4832	7976
SLC25A33	940	1593	2644
TMEM201	2045	988	1267
PIK3CD	676	260	456
CLSTN1	2482	2745	2272
AL357140.1	1139	1184	1703
CTNNBIP1	2712	1112	4006
LZIC	4824	6474	2431
NMNAT1	124	99	198
RBP7	667	648	486
UBE4B	1248	2949	3680
KIF1B	2576	1049	2700
PGD	2038	1492	1326
APITD1-CORT	5822	12180	3592
APITD1	3372	4884	2022
CORT	3582	2034	3979
DFFA	11725	5735	9494
PEX14	466	500	393
CASZ1	739	3144	2369
C1orf127	873	465	801
TARDBP	6049	17857	7330
RP4-635E18.9	738	502	600
MASP2	1212	4394	3780
SRM	10942	10216	8035
EXOSC10	157	235	165
MTOR	125	59	76
ANGPTL7	3287	1820	2840
UBIAD1	1782	787	3280
DISP3	4034	9578	6270
FBXO2	5066	2654	6525
FBXO44	2868	6425	4827
FBXO6	1579	1602	1617
MAD2L2	1305	1572	1312
DRAXIN	6731	4001	3308
AGTRAP	349	274	462
C1orf167	939	654	894
MTHFR	1046	2854	1635
CLCN6	5636	2155	4032
NPPA	4595	5597	3100
NPPB	1550	1217	1533
KIAA2013	4236	1718	2110
PLOD1	4947	4077	6367
MFN2	2787	1774	4505
MIIP	1620	2515	1242
TNFRSF8	4096	9131	9392
TNFRSF1B	6844	5565	3781
VPS13D	876	1734	2402
DHRS3	20	90	81
AADACL4	643	1114	1376
AADACL3	11119	11546	7669
C1orf158	362	1148	1229
PRAMEF12	3784	7793	2332
PRAMEF1	111	236	292
PRAMEF11	20254	6288	18765
HNRNPCL1	195	127	225
PRAMEF2	474	852	884
PRAMEF4	213	151	301
PRAMEF10	1409	2297	1921
PRAMEF7	2475	2017	1631
PRAMEF6	4726	6463	1821
PRAMEF27	241	317	253
PRAMEF25	4076	8635	6023
HNRNPCL3	3325	1653	1335
HNRNPCL2	4435	9475	3642
PRAMEF26	2500	1611	4836
HNRNPCL4	4165	3546	2667
PRAMEF9	1786	2071	1519
PRAMEF18	4813	1521	2137
PRAMEF5	2940	2094	3665
